stn	wban	weather_year	weather_month	weather_day	temp	dewp	weather
725945	2428	2010	01	01	  55.6	  52.6	Sunny
725945	2428	2010	01	02	  49.3	  44.8	Sunny
725945	2428	2010	01	03	  46.5	  42.5	Sunny
725945	2428	2010	01	04	  50.2	  45.8	Sunny
725945	2428	2010	01	05	  55.2	  49.7	Sunny
725945	2428	2010	01	06	  55.1	  53.3	Sunny
725945	2428	2010	01	07	  52.9	  52.1	Sunny
725945	2428	2010	01	08	  55.2	  53.4	Sunny
725945	2428	2010	01	09	  53.6	  51.3	Sunny
725945	2428	2010	01	10	  52.6	  49.8	Sunny
725945	2428	2010	01	11	  56.0	  48.6	Sunny
725945	2428	2010	01	12	  58.3	  51.1	Sunny
725945	2428	2010	01	13	  54.7	  50.9	Sunny
725945	2428	2010	01	14	  49.2	  45.0	Sunny
725945	2428	2010	01	15	  50.3	  43.3	Sunny
725945	2428	2010	01	16	  54.8	  41.1	Sunny
725945	2428	2010	01	17	  51.3	  45.6	Sunny
725945	2428	2010	01	18	  53.3	  44.8	Sunny
725945	2428	2010	01	19	  49.7	  45.2	Sunny
725945	2428	2010	01	20	  47.1	  39.9	Sunny
725945	2428	2010	01	21	  46.4	  40.3	Sunny
725945	2428	2010	01	22	  45.8	  41.4	Sunny
725945	2428	2010	01	23	  45.4	  41.0	Rain
725945	2428	2010	01	24	  49.3	  40.1	Sunny
725945	2428	2010	01	25	  52.4	  46.0	Sunny
725945	2428	2010	01	26	  49.7	  46.3	Sunny
725945	2428	2010	01	27	  44.2	  41.0	Sunny
725945	2428	2010	01	28	  45.0	  41.3	Sunny
725945	2428	2010	01	29	  50.7	  45.5	Sunny
725945	2428	2010	01	30	  49.8	  47.1	Sunny
725945	2428	2010	01	31	  46.2	  42.5	Sunny
725945	2428	2010	02	01	  49.3	  44.0	Sunny
725945	2428	2010	02	02	  50.7	  46.0	Sunny
725945	2428	2010	02	03	  50.9	  46.3	Sunny
725945	2428	2010	02	04	  53.0	  42.5	Sunny
725945	2428	2010	02	05	  53.4	  43.7	Sunny
725945	2428	2010	02	06	  51.4	  42.9	Sunny
725945	2428	2010	02	07	  48.1	  44.9	Sunny
725945	2428	2010	02	08	  48.7	  44.0	Sunny
725945	2428	2010	02	09	  47.7	  43.7	Sunny
725945	2428	2010	02	10	  45.9	  42.4	Sunny
725945	2428	2010	02	11	  51.8	  45.3	Sunny
725945	2428	2010	02	12	  53.0	  46.5	Sunny
725945	2428	2010	02	13	  52.7	  50.1	Sunny
725945	2428	2010	02	14	  51.1	  48.7	Sunny
725945	2428	2010	02	15	  52.6	  50.5	Sunny
725945	2428	2010	02	16	  52.5	  50.5	Sunny
725945	2428	2010	02	17	  49.6	  48.7	Sunny
725945	2428	2010	02	18	  45.6	  45.4	Sunny
725945	2428	2010	02	19	  46.4	  44.3	Sunny
725945	2428	2010	02	20	  47.3	  43.2	Sunny
725945	2428	2010	02	21	  48.1	  44.7	Sunny
725945	2428	2010	02	22	  45.0	  39.8	Sunny
725945	2428	2010	02	23	  49.2	  44.2	Sunny
725945	2428	2010	02	24	  52.0	  49.5	Sunny
725945	2428	2010	02	25	  52.3	  47.6	Sunny
725945	2428	2010	02	26	  56.0	  49.5	Sunny
725945	2428	2010	02	27	  48.7	  43.0	Sunny
725945	2428	2010	02	28	  49.4	  44.8	Sunny
725945	2428	2010	03	01	  51.0	  47.1	Sunny
725945	2428	2010	03	02	  52.4	  47.3	Sunny
725945	2428	2010	03	03	  47.9	  40.5	Sunny
725945	2428	2010	03	04	  43.7	  37.5	Sunny
725945	2428	2010	03	05	  49.5	  40.8	Sunny
725945	2428	2010	03	06	  47.8	  43.0	Sunny
725945	2428	2010	03	07	  51.4	  45.7	Sunny
725945	2428	2010	03	08	  45.1	  42.0	Sunny
725945	2428	2010	03	09	  41.4	  32.6	Sunny
725945	2428	2010	03	10	  40.8	  35.9	Sunny
725945	2428	2010	03	11	  48.5	  37.9	Sunny
725945	2428	2010	03	12	  51.2	  44.4	Sunny
725945	2428	2010	03	13	  42.8	  36.2	Sunny
725945	2428	2010	03	14	  41.6	  35.9	Sunny
725945	2428	2010	03	15	  45.7	  40.2	Sunny
725945	2428	2010	03	16	  47.2	  44.2	Sunny
725945	2428	2010	03	17	  45.7	  41.1	Sunny
725945	2428	2010	03	18	  47.6	  43.0	Sunny
725945	2428	2010	03	19	  53.2	  41.6	Sunny
725945	2428	2010	03	20	  50.8	  42.4	Sunny
725945	2428	2010	03	21	  52.7	  48.8	Sunny
725945	2428	2010	03	22	  50.1	  44.8	Sunny
725945	2428	2010	03	23	  46.5	  41.7	Sunny
725945	2428	2010	03	24	  48.2	  44.6	Sunny
725945	2428	2010	03	25	  47.7	  44.0	Sunny
725945	2428	2010	03	26	  45.3	  40.2	Sunny
725945	2428	2010	03	27	  46.0	  41.3	Sunny
725945	2428	2010	03	28	  52.8	  43.8	Sunny
725945	2428	2010	03	29	  54.6	  49.6	Sunny
725945	2428	2010	03	30	  47.7	  41.8	Sunny
725945	2428	2010	03	31	  42.3	  37.0	Sunny
725945	2428	2010	04	01	  41.4	  37.1	Sunny
725945	2428	2010	04	02	  46.7	  40.1	Sunny
725945	2428	2010	04	03	  44.6	  37.5	Sunny
725945	2428	2010	04	04	  45.2	  36.0	Sunny
725945	2428	2010	04	05	  44.1	  38.1	Sunny
725945	2428	2010	04	06	  47.4	  41.9	Sunny
725945	2428	2010	04	07	  45.6	  41.0	Sunny
725945	2428	2010	04	08	  48.7	  40.7	Sunny
725945	2428	2010	04	09	  47.5	  32.1	Sunny
725945	2428	2010	04	10	  47.7	  40.6	Sunny
725945	2428	2010	04	11	  50.4	  40.6	Sunny
725945	2428	2010	04	12	  47.4	  43.2	Sunny
725945	2428	2010	04	13	  48.8	  46.8	Sunny
725945	2428	2010	04	14	  48.5	  44.4	Sunny
725945	2428	2010	04	15	  46.5	  41.9	Sunny
725945	2428	2010	04	16	  51.5	  41.8	Sunny
725945	2428	2010	04	17	  52.5	  47.8	Sunny
725945	2428	2010	04	18	  51.2	  47.3	Sunny
725945	2428	2010	04	19	  52.3	  48.0	Sunny
725945	2428	2010	04	20	  48.2	  45.3	Sunny
725945	2428	2010	04	21	  48.0	  40.5	Sunny
725945	2428	2010	04	22	  50.4	  39.9	Sunny
725945	2428	2010	04	23	  46.7	  43.2	Sunny
